parameter_combination_string,num_exp,hyperparameter_different,hyperparameter_same,hyperparameter_different_rel,val_train_descriptives_ks_statistic_mean_stratified,val_train_descriptives_ks_statistic_sd_stratified,val_train_descriptives_ks_statistic_mean_unstratified,val_train_descriptives_ks_statistic_sd_unstratified,val_train_descriptives_ks_statistic_mean_diff,val_train_descriptives_p_value_mean_stratified,val_train_descriptives_p_value_sd_stratified,val_train_descriptives_p_value_mean_unstratified,val_train_descriptives_p_value_sd_unstratified,val_train_descriptives_p_value_mean_diff,val_train_descriptives_intersection_area_mean_stratified,val_train_descriptives_intersection_area_sd_stratified,val_train_descriptives_intersection_area_mean_unstratified,val_train_descriptives_intersection_area_sd_unstratified,val_train_descriptives_intersection_area_mean_diff,RandomSearch_Mean_Val_MSE_unstratified,RandomSearch_Mean_Val_MSE_stratified,RandomSearch_Mean_Val_SD_unstratified,RandomSearch_Mean_Val_SD_stratified,RandomSearch_Mean_Val_MSE_diff,error_estimator_mean_stratified,error_estimator_sd_stratified,error_estimator_mean_unstratified,error_estimator_sd_unstratified,error_estimator_mean_diff,num_unique_stratified,counts_stratified,num_unique_unstratified,counts_unstratifed
rf_log_200_10_0,120,84,36,0.7,0.047093750000000004,0.0015891116182616375,0.14948958333333331,0.02317809645521208,-0.10239583333333331,0.9999965490747026,1.1985957532736717e-06,0.5091326515700032,0.15181052939531828,0.4908638975046994,0.9309796037640367,0.009523571040487663,0.8663365414179086,0.020311503934083656,0.06464306234612804,0.056233042289034786,0.05492145757349112,0.011652498548840757,0.009378382435440447,-0.0013115847155436636,-0.0016969827002872313,0.05510956858914821,-0.0023527750580590594,0.05579252208010175,0.0006557923577718281,[0 1 2 3 4],[ 7 29 44 26 14],[0 1 2 3 4 5],[ 1 16 23 38 22 20]
rf_log_200_10_3,120,106,14,0.8833333333333333,0.047281250000000004,0.0015344648767512382,0.14969791666666668,0.02500052301623776,-0.10241666666666668,0.9999964260126439,1.124934809056758e-06,0.5105870881125124,0.15557782283628907,0.4894093379001315,0.9419386630084475,0.008187827493818413,0.8748507684410443,0.020462533003747896,0.06708789456740327,0.04712011156212701,0.04643659940128534,0.007418422273708924,0.0062535997357106715,-0.0006835121608416705,-0.00045103467835100114,0.04643643346762991,-0.0007927907587718375,0.04678953189751247,0.00034175608042083636,[0 1 2 3 4 5],[17 31 23 19 17 13],[0 1 2 3 4 5],[ 8 28 31 16 19 18]
rf_log_1000_5_0,120,81,39,0.675,0.005,3.483993963142541e-18,0.06832916666666668,0.009819750684279135,-0.06332916666666667,1.0,0.0,0.4956751650398917,0.13955956347926676,0.5043248349601084,0.971661048801998,0.003113474669230912,0.9328122937811529,0.008180127411557377,0.03884875502084506,0.030731022394429628,0.03021618448376819,0.0035999372140508015,0.0018659299763444425,-0.0005148379106614392,-0.0005470444000090925,0.03106467112344105,-0.0008044633553398154,0.03131850231466901,0.0002574189553307229,[0 1 2 3],[ 6 65 39 10],[0 1 2 3 4 5],[ 2 70 38  8  1  1]
rf_log_1000_5_3,120,95,25,0.7916666666666666,0.005,3.483993963142541e-18,0.06815416666666667,0.01024977881157806,-0.06315416666666666,1.0,0.0,0.49817933553212285,0.14187164632438415,0.5018206644678771,0.9776054841887981,0.0025505885808624713,0.9368163475114779,0.008510971033695408,0.040789136677320204,0.03744141393249755,0.03723080681246978,0.002581392540992326,0.002024929449243489,-0.00021060712002777399,-0.0003062150191515549,0.037101518299236455,-0.0004115185791654417,0.03720909416999161,0.00010530356001388683,[0 1 2 3],[45 62 11  2],[0 1 2 3 4],[43 63 11  2  1]
rf_log_1000_10_0,120,82,38,0.6833333333333333,0.009987500000000002,5.4714691619267755e-05,0.06550208333333334,0.01048074945166744,-0.05551458333333333,1.0,0.0,0.5406710410211304,0.1458303077334378,0.4593289589788696,0.9711923158748953,0.002964497408624944,0.9360916075030694,0.009298037350427894,0.035100708371825884,0.031189313539027756,0.030805766947414704,0.0032545437637329037,0.002328316674701648,-0.0003835465916130522,-0.0008508338339156861,0.03141050760889195,-0.0010426071297222105,0.031597821978238835,0.00019177329580652436,[0 1 2 3 4 5],[ 1 60 43  7  5  4],[0 1 2 3 4 5],[ 6 63 38  9  2  2]
rf_log_1000_10_3,120,96,24,0.8,0.009979166666666666,7.658228214394828e-05,0.06723125,0.010178870978195776,-0.05725208333333334,1.0,0.0,0.5136571886237405,0.14628948886717866,0.48634281137625945,0.9767503586912307,0.00234803618106417,0.9377908266576526,0.008078796314130832,0.03895953203357816,0.03745454918758803,0.037267879383055987,0.0029300315012991923,0.002059595780865275,-0.00018666980453204557,-0.0002937721046529937,0.03714977774084078,-0.0003871070069190121,0.03724639984427408,9.33349022660184e-05,[0 1 2 3 4 5],[41 65 10  2  1  1],[0 1 2 3 4],[44 62  9  4  1]
rf_sqrt_200_5_0,120,80,40,0.6666666666666666,0.025000000000000005,5.574390341028066e-17,0.14612500000000003,0.020998824496911744,-0.12112500000000002,1.0,0.0,0.5275264450179032,0.1350929994534143,0.47247355498209676,0.952273811510604,0.007113821995791386,0.879592995207075,0.01904404734603319,0.07268081630352896,0.14968917256439562,0.14523836490165476,0.017930116673265425,0.008926275860000499,-0.004450807662740863,-0.004962527611869055,0.14545181272898025,-0.007187931443239481,0.14765670684888788,0.0022254038313704264,[0 1 2 3 4],[13 36 37 19 15],[0 1 2 3 4 5],[ 2 13 33 37 21 14]
rf_sqrt_200_5_3,120,110,10,0.9166666666666666,0.025000000000000005,5.574390341028066e-17,0.14309374999999996,0.020533178277828194,-0.11809374999999996,1.0,0.0,0.5470432157888315,0.13835398618770578,0.4529567842111685,0.9556281059388492,0.005866342184506954,0.8852514980177015,0.01615059558277435,0.07037660792114764,0.2216803223955986,0.21834737500016171,0.018949305097940284,0.012936549712129784,-0.0033329473954368805,-0.0016337730113308625,0.21850493368751853,-0.0033002467090493155,0.22015493414353357,0.001666473697718453,[0 1 2 3 4 5],[ 7 38 34 23  9  9],[0 1 2 3 4 5],[15 33 31 20  7 14]
rf_sqrt_200_10_0,120,68,52,0.5666666666666667,0.04697916666666667,0.0017346515807050641,0.14658333333333334,0.02298424591375775,-0.09960416666666667,0.9999965963596085,1.2455175225813566e-06,0.5284636362716598,0.14243676715933412,0.47153296008794865,0.9486345352769967,0.007227246772792223,0.882223302091165,0.01976294533131984,0.06641123318583175,0.1463936034757969,0.14299747936924817,0.013777945034273506,0.008498255036899811,-0.0033961241065487424,-0.0041708051869157395,0.14404205691956606,-0.005868867240190118,0.14572413449353958,0.0016980620532743781,[0 1 2 3 4],[10 35 32 27 16],[0 1 2 3 4 5],[ 1 13 28 35 28 15]
rf_sqrt_200_10_3,120,101,19,0.8416666666666667,0.04715625,0.0017749016128490384,0.14917708333333335,0.024214278807023298,-0.10202083333333335,0.9999964925519352,1.2936966457186924e-06,0.517961627367738,0.1418500982340846,0.48203486518419725,0.9520513648644258,0.005639145937628096,0.8831175509205221,0.01935169488715086,0.06893381394390363,0.2238956367135461,0.22065452348773973,0.024013078241686955,0.02015681285039612,-0.0032411132258063635,-0.002884540567203185,0.21972808781094924,-0.004505097180106366,0.22134601852112631,0.001620556612903181,[0 1 2 3 4 5],[12 30 34 24 10 10],[0 1 2 3 4 5],[ 8 35 34 26  7 10]
rf_sqrt_1000_5_0,120,87,33,0.725,0.005,3.483993963142541e-18,0.06816666666666667,0.010729207629575603,-0.06316666666666666,1.0,0.0,0.4995081398730156,0.15146000017906433,0.5004918601269843,0.9814506213954204,0.0018206088993521579,0.9381746585506938,0.008981580579526721,0.04327596284472657,0.07959747350106691,0.0790594745401161,0.004710667022147664,0.0023489712373291356,-0.0005379989609508168,-0.002616926627766382,0.08044835480531817,-0.002885926108241788,0.08071642423627985,0.0002689994804754058,[0 1 2 3 4],[ 3 68 39  9  1],[0 1 2 3 4],[ 4 69 38  8  1]
rf_sqrt_1000_5_3,120,103,17,0.8583333333333333,0.005,3.483993963142541e-18,0.0679625,0.010464407963836918,-0.06296249999999999,1.0,0.0,0.5062925067013564,0.14009335602916004,0.4937074932986436,0.9827302289941596,0.0014199246530949715,0.9396822783745151,0.00878674108931897,0.043047950619644504,0.17595229745893895,0.17529921527627532,0.006868138826043075,0.005035093407325731,-0.0006530821826636335,-0.0015691393598043265,0.17449994946685943,-0.0018956804511361394,0.17482658474829268,0.00032654109133181284,[0 1 2 3],[30 70 19  1],[0 1 2 3],[31 71 14  4]
rf_sqrt_1000_10_0,120,81,39,0.675,0.00999375,3.919489119513292e-05,0.06751458333333334,0.010102951968627394,-0.05752083333333334,1.0,0.0,0.5074041415890406,0.14526135305561078,0.49259585841095943,0.9808495052621075,0.0018562032757633547,0.9389821910012606,0.008893693572473544,0.04186731426084689,0.07977712302455404,0.07921152053641216,0.00443289729662023,0.002402560763279777,-0.0005656024881418864,-0.002687484855289419,0.08059049584318399,-0.00297028609936036,0.08088778880013546,0.00028280124407094103,[0 1 2 3 4],[ 2 67 40  9  2],[0 1 2 3 4],[ 3 65 36 14  2]
rf_sqrt_1000_10_3,120,92,28,0.7666666666666667,0.009989583333333333,5.016604083103502e-05,0.06757083333333334,0.010164517670198969,-0.057581250000000014,1.0,0.0,0.5070448026818999,0.13939547900487365,0.4929551973181001,0.9820962424039481,0.0015173892295045376,0.939757657550997,0.008178103530656065,0.042338584852951056,0.1759130688385854,0.17528196530296342,0.006883306490203013,0.005440543195850767,-0.0006311035356219852,-0.0015417769993983862,0.17450617577526545,-0.0018573287672093717,0.17482078838765835,0.00031555176781098543,[0 1 2],[34 65 21],[0 1 2 3],[32 72 14  2]
