parameter_combination_string,num_exp,hyperparameter_different,hyperparameter_same,hyperparameter_different_rel,val_train_descriptives_ks_statistic_mean_stratified,val_train_descriptives_ks_statistic_sd_stratified,val_train_descriptives_ks_statistic_mean_unstratified,val_train_descriptives_ks_statistic_sd_unstratified,val_train_descriptives_ks_statistic_mean_diff,val_train_descriptives_p_value_mean_stratified,val_train_descriptives_p_value_sd_stratified,val_train_descriptives_p_value_mean_unstratified,val_train_descriptives_p_value_sd_unstratified,val_train_descriptives_p_value_mean_diff,val_train_descriptives_intersection_area_mean_stratified,val_train_descriptives_intersection_area_sd_stratified,val_train_descriptives_intersection_area_mean_unstratified,val_train_descriptives_intersection_area_sd_unstratified,val_train_descriptives_intersection_area_mean_diff,RandomSearch_Mean_Val_MSE_unstratified,RandomSearch_Mean_Val_MSE_stratified,RandomSearch_Mean_Val_SD_unstratified,RandomSearch_Mean_Val_SD_stratified,RandomSearch_Mean_Val_MSE_diff,error_estimator_mean_stratified,error_estimator_sd_stratified,error_estimator_mean_unstratified,error_estimator_sd_unstratified,error_estimator_mean_diff,num_unique_stratified,counts_stratified,num_unique_unstratified,counts_unstratifed
xgb_log_200_10_0,110,89,21,0.8090909090909091,0.04692045454545454,0.0017323592580156004,0.14879545454545454,0.022855202914220836,-0.101875,0.9999966437136115,1.2335867795387006e-06,0.5112502496845913,0.1426778161988123,0.4887463940290202,0.9309483795224083,0.009944350386225053,0.8698012510790921,0.018845989565668204,0.06114712844331616,0.12233230085186196,0.11990347895300554,0.016166613855822073,0.011633838586433062,-0.0024288218988564175,-0.0017884848801391325,0.12465472276071965,-0.003002895829567349,0.12579344866740733,0.0012144109494282166,[0],[110],[0],[110]
xgb_log_200_10_3,110,89,21,0.8090909090909091,0.04720454545454545,0.0014754029997517278,0.1493068181818182,0.022117406152638405,-0.10210227272727276,0.999996468468592,1.0907453345952908e-06,0.506084958121685,0.14590316930816444,0.49391151034690706,0.9425830750540597,0.008619778427762537,0.8771061680548654,0.01807549350874213,0.06547690699919428,0.08091692250736589,0.07972768384016989,0.009856832066395082,0.0068710404330358625,-0.001189238667196002,0.00022062758150596405,0.08113293112558272,-0.0003739917520920368,0.08171518383022909,0.0005946193335980009,[0],[110],[0 1],[108   2]
xgb_log_1000_5_0,110,90,20,0.8181818181818182,0.004999999999999999,3.485325510664171e-18,0.06670454545454546,0.009544931277607253,-0.06170454545454546,1.0,0.0,0.5133220119877543,0.14185711798888231,0.4866779880122457,0.9718176939509033,0.00297198667882081,0.9345008960543794,0.008042564524128984,0.03731679789652398,0.07677872404071566,0.07607331878872259,0.008101852140538017,0.0032316372044065753,-0.0007054052519930715,-0.0028613444639067507,0.08329356750486783,-0.0032140470899032834,0.0836005086296898,0.0003527026259965327,[0],[110],[0],[110]
xgb_log_1000_5_3,110,85,25,0.7727272727272727,0.004999999999999999,3.485325510664171e-18,0.06616590909090911,0.010843881570479986,-0.06116590909090911,1.0,0.0,0.5319903466075615,0.14960258210056346,0.4680096533924385,0.9778157322053638,0.002448097647412222,0.9386435353150849,0.008665348745136622,0.03917219689027884,0.06566453733779941,0.06539832020302792,0.0040077451182614346,0.002766478983937493,-0.0002662171347714848,-0.0010467305237866888,0.06684078343329511,-0.0011798390911724277,0.06696349270766135,0.00013310856738573892,[0],[110],[0],[110]
xgb_log_1000_10_0,110,87,23,0.7909090909090909,0.009990909090909088,4.70124998905075e-05,0.06727272727272726,0.009783056492150458,-0.05728181818181817,1.0,0.0,0.5071031197815318,0.14682917968575374,0.4928968802184682,0.9706918249357085,0.003302924294435732,0.9335430706751069,0.008611846137419384,0.0371487542606016,0.07611429782183034,0.07558634558240925,0.007370741441982825,0.002950315373250622,-0.0005279522394210923,-0.0025538532823409844,0.0830735206785633,-0.0028178294020515283,0.08330533905620668,0.00026397611971054396,[0],[110],[0],[110]
xgb_log_1000_10_3,110,84,26,0.7636363636363637,0.009995454545454545,3.3555003828066966e-05,0.06578863636363637,0.010151952537579707,-0.055793181818181825,1.0,0.0,0.5265733055764628,0.14966250676815174,0.47342669442353724,0.9767522918300735,0.002657723584983986,0.9389905144969474,0.008658093449150726,0.037761777333126134,0.06515784203066415,0.06494013841022926,0.004151551643036772,0.003171827153282738,-0.00021770362043488367,-0.0008185159360237274,0.06657826876246895,-0.0009273677462411644,0.06668493346505586,0.00010885181021743696,[0],[110],[0],[110]
xgb_sqrt_200_5_0,110,88,22,0.8,0.024999999999999994,5.576520817062673e-17,0.1476477272727273,0.02290019468925257,-0.1226477272727273,1.0,0.0,0.5191207872002324,0.14741269320167497,0.48087921279976764,0.9509887525603503,0.00745481792491235,0.8793286045005542,0.019272463367681597,0.07166014805979615,0.25125641923616415,0.2463425335227445,0.033346546994050326,0.011387901515380633,-0.004913885713419663,-0.0060429847934177165,0.2657370869737376,-0.008499927650127501,0.26824679813388236,0.002456942856709785,[0 1],[105   5],[0 1],[104   6]
xgb_sqrt_200_5_3,110,95,15,0.8636363636363636,0.024999999999999994,5.576520817062673e-17,0.14632954545454543,0.02218515527262299,-0.12132954545454544,1.0,0.0,0.5248485588689454,0.13944533540182258,0.47515144113105456,0.9559480707093756,0.005335630231368725,0.8837735740965168,0.01733087860122899,0.0721744966128588,0.3027454844269717,0.2977702321446573,0.02863554511091434,0.01514419100533666,-0.00497525228231438,-0.001497601240055911,0.30810496192072173,-0.003985227381213085,0.31059431963216655,0.0024876261411571733,[0 1 2],[93 16  1],[0 1],[91 19]
xgb_sqrt_200_10_0,110,83,27,0.7545454545454545,0.04698863636363637,0.001635467824254009,0.14427272727272727,0.024765749910724152,-0.0972840909090909,0.9999966631930942,1.2677609852843434e-06,0.5418385406043729,0.15613169063192633,0.45815812258872135,0.9476939759591704,0.006855594532955741,0.8808508273739382,0.019966929268482266,0.06684314858523221,0.25301255407026757,0.24824049303679954,0.03257226523579613,0.013767117450033102,-0.004772061033468028,-0.00806543201521797,0.2658375053391887,-0.01045146253195194,0.2683068238780265,0.0023860305167339706,[0 1],[109   1],[0 1 2],[107   2   1]
xgb_sqrt_200_10_3,110,95,15,0.8636363636363636,0.047136363636363636,0.001450101374041081,0.14834090909090908,0.023022170389457225,-0.10120454545454544,0.9999965904352343,1.1721249823907443e-06,0.5162030089517164,0.14630241781217904,0.4837935814835178,0.9513496023610879,0.005974982476446472,0.8823675272923643,0.020749000750886957,0.06898207506872356,0.30759958250695757,0.3025495030578476,0.03461956057583258,0.020362408537649455,-0.0050500794491099565,-0.006040273071196536,0.3084449800917709,-0.008565312795751536,0.31096259920812386,0.002525039724555,[0 1 2],[88 18  4],[0 1 2],[84 25  1]
xgb_sqrt_1000_5_0,110,74,36,0.6727272727272727,0.004999999999999999,3.485325510664171e-18,0.06646136363636364,0.008483469244183901,-0.06146136363636364,1.0,0.0,0.5184772739169744,0.12049424558817566,0.4815227260830256,0.9812869031849515,0.001764495470464814,0.9402337421704754,0.008444539503472738,0.04105316101447609,0.13787555792331282,0.13696610610726356,0.011025986576403421,0.0036741275796809618,-0.0009094518160492615,-0.004879210279086326,0.168951493273409,-0.005333936187110967,0.16934931122777974,0.00045472590802464116,[0],[110],[0],[110]
xgb_sqrt_1000_5_3,110,84,26,0.7636363636363637,0.004999999999999999,3.485325510664171e-18,0.06783636363636365,0.009437835987313842,-0.06283636363636365,1.0,0.0,0.5081216712347065,0.12276014314399977,0.49187832876529347,0.9826593938698241,0.0017095192724188787,0.9390674464918233,0.008424045533372662,0.04359194737800087,0.2236618962986069,0.2222891770320437,0.011408222158379984,0.005196479551369232,-0.0013727192665631827,-0.0034199238471582178,0.230948970051828,-0.004106283480439815,0.23160070377905836,0.0006863596332815974,[0 1],[95 15],[0 1],[98 12]
xgb_sqrt_1000_10_0,110,71,39,0.6454545454545455,0.009993181818181816,4.090561564332314e-05,0.06716363636363636,0.009983382773873528,-0.05717045454545454,1.0,0.0,0.5109805560817836,0.1404170522128689,0.4890194439182164,0.9811674048775496,0.0018084233049025838,0.9396728938153279,0.00890321095060144,0.041494511062221684,0.13832992469351582,0.13741987809819814,0.010480379514401493,0.003611809726572018,-0.0009100465953176817,-0.004244958722280878,0.17064418797337802,-0.004699982019939741,0.17105757325371265,0.00045502329765886255,[0],[110],[0],[110]
xgb_sqrt_1000_10_3,110,82,28,0.7454545454545455,0.009984090909090906,6.130530387796493e-05,0.06810681818181819,0.009845332516068716,-0.05812272727272728,1.0,0.0,0.5058442295759796,0.1358936428239991,0.49415577042402037,0.982229112768706,0.00164777911873879,0.9394041658097645,0.008221203617559602,0.04282494695894146,0.22236841732227974,0.2216050134953915,0.010816626650498571,0.005681888563917471,-0.0007634038268882481,-0.0030144047101957625,0.2306213557914552,-0.0033961066236398627,0.2310190140034992,0.0003817019134441002,[0 1],[89 21],[0 1],[97 13]
